break	00000	3
rep	000010000	3
meeting	0000100010	3
people	000010001100	10
year	000010001100	10
party	000010001100	11
show	000010001100	11
sunday	000010001100	11
years	000010001100	11
days	000010001100	12
night	000010001100	12
noun	000010001100	1685
friday	000010001100	19
tomorrow	000010001100	21
week	000010001100	27
bed	000010001100	3
book	000010001100	3
buttons	000010001100	3
class	000010001100	3
college	000010001100	3
company	000010001100	3
concert	000010001100	3
dec	000010001100	3
dinner	000010001100	3
dream	000010001100	3
excuses	000010001100	3
face	000010001100	3
food	000010001100	3
foot	000010001100	3
football	000010001100	3
gaga	000010001100	3
group	000010001100	3
gym	000010001100	3
hair	000010001100	3
hours	000010001100	3
jan	000010001100	3
jersey	000010001100	3
la	000010001100	3
lady	000010001100	3
lounge	000010001100	3
month	000010001100	3
nov	000010001100	3
november	000010001100	3
part	000010001100	3
ppl	000010001100	3
room	000010001100	3
september	000010001100	3
shit	000010001100	3
sodium	000010001100	3
stores	000010001100	3
tailgate	000010001100	3
thursday	000010001100	3
times	000010001100	3
tonite	000010001100	3
top	000010001100	3
tour	000010001100	3
world	000010001100	3
youtube	000010001100	3
tonight	000010001100	37
time	000010001100	38
birthday	000010001100	4
boy	000010001100	4
end	000010001100	4
everyone	000010001100	4
everything	000010001100	4
game	000010001100	4
guys	000010001100	4
house	000010001100	4
lot	000010001100	4
minutes	000010001100	4
monday	000010001100	4
record	000010001100	4
shore	000010001100	4
thing	000010001100	4
things	000010001100	4
video	000010001100	4
weekend	000010001100	4
weeks	000010001100	4
today	000010001100	42
bieber	000010001100	5
kids	000010001100	5
mom	000010001100	5
movie	000010001100	5
place	000010001100	5
pope	000010001100	5
saturday	000010001100	5
someone	000010001100	5
something	000010001100	5
tv	000010001100	5
way	000010001100	5
god	000010001100	6
justin	000010001100	6
photo	000010001100	6
school	000010001100	6
day	000010001100	60
home	000010001100	7
life	000010001100	9
twitter	000010001101	5
work	00001000111	12
practice	00001001	3
running	0000101	3
run	000011	3
follow	0001	8
an	00100000	14
all	001000010	19
the	0010000110	165
this	001000011100	40
det	001000011100	426
every	001000011100	5
which	001000011100	5
some	001000011100	9
these	001000011101	3
a	00100001111	125
that	0010001	36
no	001001	9
last	001010000000	11
next	001010000000	14
good	001010000000	19
cool	001010000000	3
excited	001010000000	3
favorite	001010000000	3
free	001010000000	3
fun	001010000000	3
late	001010000000	3
less	001010000000	3
special	001010000000	3
adj	001010000000	341
hard	001010000000	4
other	001010000000	4
sure	001010000000	4
bad	001010000000	5
best	001010000000	5
great	001010000000	5
old	001010000000	5
better	001010000000	6
few	001010000000	6
happy	001010000000	6
most	001010000000	6
tired	001010000000	6
big	001010000000	7
first	001010000000	9
official	001010000001	3
new	00101000001	5
long	0010100001	10
more	001010001	6
live	00101001	7
there	001010100	12
back	001010101000	16
not	001010101001	19
now	001010101001	23
n't	001010101001	24
basically	001010101001	3
ever	001010101001	3
forward	001010101001	3
never	001010101001	3
very	001010101001	3
just	001010101001	36
already	001010101001	4
away	001010101001	4
far	001010101001	4
hopefully	001010101001	4
much	001010101001	4
usually	001010101001	4
adv	001010101001	401
when	001010101001	48
earlier	001010101001	5
even	001010101001	5
later	001010101001	5
only	001010101001	5
really	001010101001	5
still	001010101001	5
ago	001010101001	6
right	001010101001	6
too	001010101001	6
where	001010101001	6
why	001010101001	6
again	001010101001	7
how	001010101001	7
here	001010101001	9
well	00101010101	10
so	0010101011	34
t	00101011	3
then	00101100	8
as	0010110100	12
from	001011010100	12
by	001011010100	14
if	001011010100	18
like	001011010100	22
after	001011010100	26
cause	001011010100	3
till	001011010100	3
with	001011010100	33
at	001011010100	38
than	001011010100	4
wit	001011010100	4
for	001011010100	47
against	001011010100	5
because	001011010100	5
into	001011010100	5
over	001011010100	5
through	001011010100	5
til	001011010100	5
via	001011010100	5
adp	001011010100	549
of	001011010100	64
on	001011010100	66
in	001011010100	69
before	001011010101	10
about	00101101011	15
(@	001011011	3
around	0010111000	3
off	00101110010	7
up	001011100110	23
to	001011100111	127
prt	001011100111	207
out	001011100111	30
down	001011101	5
's	00101111	51
shows	00110	4
living	00111000	3
been	001110010000	10
did	001110010000	10
has	001110010000	10
need	001110010000	10
'll	001110010000	11
going	001110010000	11
say	001110010000	11
see	001110010000	11
love	001110010000	12
want	001110010000	12
verb	001110010000	1215
can	001110010000	14
go	001110010000	16
got	001110010000	17
know	001110010000	17
'm	001110010000	19
are	001110010000	19
will	001110010000	19
do	001110010000	22
was	001110010000	25
get	001110010000	26
're	001110010000	3
asked	001110010000	3
buy	001110010000	3
could	001110010000	3
doing	001110010000	3
done	001110010000	3
eat	001110010000	3
found	001110010000	3
gets	001110010000	3
goin	001110010000	3
happens	001110010000	3
help	001110010000	3
lets	001110010000	3
made	001110010000	3
meet	001110010000	3
play	001110010000	3
played	001110010000	3
saw	001110010000	3
seen	001110010000	3
talking	001110010000	3
thank	001110010000	3
tryna	001110010000	3
turns	001110010000	3
tweeting	001110010000	3
watch	001110010000	3
watching	001110010000	3
wear	001110010000	3
winning	001110010000	3
write	001110010000	3
be	001110010000	35
have	001110010000	35
ca	001110010000	4
dont	001110010000	4
feel	001110010000	4
find	001110010000	4
gotta	001110010000	4
kill	001110010000	4
makes	001110010000	4
might	001110010000	4
miss	001110010000	4
put	001110010000	4
remember	001110010000	4
said	001110010000	4
wanna	001110010000	4
would	001110010000	4
being	001110010000	5
driving	001110010000	5
hate	001110010000	5
make	001110010000	5
took	001110010000	5
try	001110010000	5
call	001110010000	6
check	001110010000	6
give	001110010000	6
should	001110010000	6
went	001110010000	6
is	001110010000	65
coming	001110010000	7
getting	001110010000	7
let	001110010000	7
sleep	001110010000	7
were	001110010000	7
come	001110010000	8
gonna	001110010000	8
had	001110010000	8
hope	001110010000	8
've	001110010000	9
may	001110010000	9
think	001110010000	9
am	001110010001	6
looking	00111001001	6
stop	0011100101	5
start	001110011	4
set	0011101	3
wait	001111	5
..."	0100000	3
1	0100001000	6
one	01000010010	17
18	010000100110	3
num	010000100111	142
20	010000100111	3
31	010000100111	3
five	010000100111	3
two	010000100111	3
15	010000100111	4
30	010000100111	4
6	010000100111	6
2010	010000100111	7
4	010000101	7
2	01000011	14
3	010001	18
lol	010010000000	17
:)	010010000001	19
@liltwist	010010000001	3
@souljaboy	010010000001	3
com	010010000001	3
etc	010010000001	3
ugh	010010000001	3
;)	010010000001	4
@justinbieber	010010000001	4
lmao	010010000001	4
xd	010010000001	4
:(	010010000001	5
haha	010010000001	5
oh	010010000001	6
x	010010000001	683
:d	010010000001	7
yeah	010010000001	7
rt	010010000001	71
&lt;	01001000001	20
man	0100100001	6
fuck	010010001	3
morning	01001001	4
?:	0100101	5
please	010011	3
and	01010	100
or	0101100	12
n	01011010	4
conj	010110110	161
but	010110111	25
&	010111	11
!!!	011000000000	10
'	011000000000	10
!	011000000000	112
.	011000000000	1139
,	011000000000	147
"	011000000000	26
.....	011000000000	3
...:	011000000000	3
?	011000000000	37
;	011000000000	4
....	011000000000	7
...	011000000000	71
--	011000000001	3
|	01100000001	4
!!!!	0110000001	4
..	011000001	16
!!	01100001	19
-	0110001	22
:	011001	115
)	01101	15
(	0111	14
i	100	168
her	101000	18
she	101001000000	11
im	101001000000	12
u	101001000000	13
your	101001000000	13
they	101001000000	17
what	101001000000	17
we	101001000000	26
him	101001000000	3
their	101001000000	3
yours	101001000000	3
me	101001000000	36
ive	101001000000	4
them	101001000000	4
us	101001000000	5
our	101001000000	6
pron	101001000000	671
you	101001000000	83
it	101001000000	95
who	101001000001	9
ur	10100100001	4
my	1010010001	53
his	101001001	5
its	10100101	18
myself	1010011	4
he	10101	14
yourself	1011	4
id	11	3
